Experiment	Frequency Sweep	
Date	17.02.2021 13:15:05	
User		
f_res (Hz)	21473,9993	
Q	1762	
Phase (deg)	-126,26	
Amp/Exc (nm/mV)	0,882419	
Number of points	2000	
Fit length	11	

[DATA]
Frequency Shift (Hz)	Center Frequency (Hz)	Amplitude (m)	Phase (deg)
-56.6044E+0	21.4915E+3	13.7285E-9	65.4376E+0
-56.5280E+0	21.4915E+3	15.1529E-9	68.1818E+0
-56.4517E+0	21.4915E+3	13.8317E-9	68.3570E+0
-56.3753E+0	21.4915E+3	15.3698E-9	71.2048E+0
-56.2990E+0	21.4915E+3	13.6900E-9	71.0602E+0
-56.2227E+0	21.4915E+3	14.3624E-9	70.5538E+0
-56.1463E+0	21.4915E+3	15.1501E-9	73.8584E+0
-56.0700E+0	21.4915E+3	14.5546E-9	70.9136E+0
-55.9936E+0	21.4915E+3	14.8334E-9	72.2085E+0
-55.9173E+0	21.4915E+3	12.7387E-9	71.5595E+0
-55.8410E+0	21.4915E+3	15.1031E-9	73.5786E+0
-55.7646E+0	21.4915E+3	14.2576E-9	79.7504E+0
-55.6883E+0	21.4915E+3	13.5108E-9	73.0286E+0
-55.6119E+0	21.4915E+3	14.1568E-9	72.7153E+0
-55.5356E+0	21.4915E+3	14.5320E-9	73.3389E+0
-55.4593E+0	21.4915E+3	14.4980E-9	74.6597E+0
-55.3829E+0	21.4915E+3	14.3973E-9	77.9817E+0
-55.3066E+0	21.4915E+3	14.3964E-9	73.4806E+0
-55.2302E+0	21.4915E+3	14.6363E-9	74.6077E+0
-55.1539E+0	21.4915E+3	14.7560E-9	71.8501E+0
-55.0776E+0	21.4915E+3	14.3487E-9	74.0814E+0
-55.0012E+0	21.4915E+3	16.2384E-9	79.0570E+0
-54.9249E+0	21.4915E+3	15.0066E-9	70.2083E+0
-54.8485E+0	21.4915E+3	15.8402E-9	69.1910E+0
-54.7722E+0	21.4915E+3	15.0091E-9	78.2908E+0
-54.6959E+0	21.4915E+3	13.7928E-9	73.3707E+0
-54.6195E+0	21.4915E+3	13.4946E-9	82.2596E+0
